technique_id,tactic,comment
T1566.001,initial-access,Top initial access vector for our sector per last two years of incidents
T1566.002,initial-access,Credential-harvest links
T1190,initial-access,Internet-facing appliances
T1078.004,initial-access,Cloud account takeover
T1059.001,execution,PowerShell in nearly every intrusion
T1204.002,execution,User opens attachment
T1547.001,persistence,Run keys
T1053.005,persistence,Scheduled tasks
T1003.001,credential-access,LSASS dumping
T1558.003,credential-access,Kerberoasting
T1621,credential-access,MFA fatigue
T1087.002,discovery,Domain account discovery
T1021.001,lateral-movement,RDP
T1021.002,lateral-movement,SMB admin shares
T1071.001,command-and-control,HTTPS C2
T1105,command-and-control,Tool download
T1567.002,exfiltration,Cloud storage exfil
T1486,impact,Ransomware encryption
T1490,impact,Shadow copy deletion
